Time,Source,Topic,SampleTime,PerfCounter,Elapsed
2025-01-21T12:00:35-0500,ezmsg.sigproc.scaler.AdaptiveStandardScaler,PREPROC/SCALER_LFS,-2208959999.3511934,1314993.793762875,0.0684
2025-01-21T12:00:35-0500,ezmsg.sigproc.scaler.AdaptiveStandardScaler,PREPROC/SCALER_HGA,-2208960000.0078645,1314993.793824083,0.0286
2025-01-21T12:00:35-0500,ezmsg.sigproc.downsample.Downsample,PREPROC/DEC_HGA/DOWNSAMPLE,-2208959999.2509236,1314993.794091,0.0216
2025-01-21T12:00:35-0500,ezmsg.sigproc.downsample.Downsample,PREPROC/DEC_LFS/DOWNSAMPLE,-2208959999.2528896,1314993.794135875,0.0143
2025-01-21T12:00:35-0500,ezmsg.sigproc.affinetransform.CommonRereference,PREPROC/CAR,-2208959999.000576,1314993.794467333,0.0232
2025-01-21T12:00:35-0500,ezmsg.sigproc.decimate.ChebyForDecimate,PREPROC/DEC_HGA/FILTER,-2208959999.150654,1314993.794888958,0.3876
2025-01-21T12:00:35-0500,ezmsg.sigproc.decimate.ChebyForDecimate,PREPROC/DEC_LFS/FILTER,-2208959999.150654,1314993.795409916,0.4032
2025-01-21T12:00:35-0500,ezmsg.sigproc.bandpower.BandPower,PREPROC/BP_HGA,-2208959999.8112564,1314993.797110916,1.6554
2025-01-21T12:00:35-0500,ezmsg.sigproc.scaler.AdaptiveStandardScaler,PREPROC/SCALER_LFS,-2208959999.3040075,1314993.797246875,0.0616
2025-01-21T12:00:35-0500,ezmsg.sigproc.scaler.AdaptiveStandardScaler,PREPROC/SCALER_HGA,-2208959999.958712,1314993.797336333,0.0401
2025-01-21T12:00:35-0500,ezmsg.sigproc.downsample.Downsample,PREPROC/DEC_HGA/DOWNSAMPLE,-2208959999.2017713,1314993.797676583,0.0492
2025-01-21T12:00:35-0500,ezmsg.sigproc.downsample.Downsample,PREPROC/DEC_LFS/DOWNSAMPLE,-2208959999.2017713,1314993.797740375,0.0320
2025-01-21T12:00:35-0500,ezmsg.sigproc.affinetransform.CommonRereference,PREPROC/CAR,-2208959998.950441,1314993.79812425,0.0346
2025-01-21T12:00:35-0500,ezmsg.sigproc.decimate.ChebyForDecimate,PREPROC/DEC_HGA/FILTER,-2208959999.100518,1314993.799919666,0.3930
2025-01-21T12:00:35-0500,ezmsg.sigproc.decimate.ChebyForDecimate,PREPROC/DEC_LFS/FILTER,-2208959999.100518,1314993.800394916,0.4009
2025-01-21T12:00:35-0500,ezmsg.sigproc.bandpower.BandPower,PREPROC/BP_HGA,-2208959999.7621045,1314993.802020583,1.5840
2025-01-21T12:00:35-0500,ezmsg.sigproc.scaler.AdaptiveStandardScaler,PREPROC/SCALER_LFS,-2208959999.2528896,1314993.802138375,0.0578
2025-01-21T12:00:35-0500,ezmsg.sigproc.scaler.AdaptiveStandardScaler,PREPROC/SCALER_HGA,-2208959999.90956,1314993.802200333,0.0285
2025-01-21T12:00:35-0500,ezmsg.sigproc.downsample.Downsample,PREPROC/DEC_HGA/DOWNSAMPLE,-2208959999.150654,1314993.802473708,0.0197
2025-01-21T12:00:35-0500,ezmsg.sigproc.downsample.Downsample,PREPROC/DEC_LFS/DOWNSAMPLE,-2208959999.150654,1314993.802518,0.0132
2025-01-21T12:00:35-0500,brnbci.sigproc.model.chang_text.unit.ChangTextDecoder,MODEL,0.0,1314993.847565041,44.9764
2025-01-21T12:00:35-0500,ezmsg.sigproc.affinetransform.CommonRereference,PREPROC/CAR,-2208959998.900634,1314993.848192541,0.0579
2025-01-21T12:00:35-0500,ezmsg.sigproc.decimate.ChebyForDecimate,PREPROC/DEC_HGA/FILTER,-2208959999.050383,1314993.848628291,0.3789
2025-01-21T12:00:35-0500,ezmsg.sigproc.decimate.ChebyForDecimate,PREPROC/DEC_LFS/FILTER,-2208959999.050383,1314993.849026541,0.3572
2025-01-21T12:00:35-0500,ezmsg.sigproc.bandpower.BandPower,PREPROC/BP_HGA,-2208959999.712952,1314993.850519833,1.4607
2025-01-21T12:00:35-0500,ezmsg.sigproc.scaler.AdaptiveStandardScaler,PREPROC/SCALER_LFS,-2208959999.2017713,1314993.850665291,0.0841
2025-01-21T12:00:35-0500,ezmsg.sigproc.scaler.AdaptiveStandardScaler,PREPROC/SCALER_HGA,-2208959999.8604083,1314993.850825958,0.1129
2025-01-21T12:00:35-0500,ezmsg.sigproc.downsample.Downsample,PREPROC/DEC_HGA/DOWNSAMPLE,-2208959999.1015015,1314993.851188416,0.0394
2025-01-21T12:00:35-0500,ezmsg.sigproc.downsample.Downsample,PREPROC/DEC_LFS/DOWNSAMPLE,-2208959999.1034675,1314993.851245125,0.0196
2025-01-21T12:00:35-0500,ezmsg.sigproc.affinetransform.CommonRereference,PREPROC/CAR,-2208959998.850498,1314993.8516605,0.0555
2025-01-21T12:00:35-0500,ezmsg.sigproc.decimate.ChebyForDecimate,PREPROC/DEC_HGA/FILTER,-2208959999.000576,1314993.852143958,0.4420
2025-01-21T12:00:35-0500,ezmsg.sigproc.decimate.ChebyForDecimate,PREPROC/DEC_LFS/FILTER,-2208959999.000576,1314993.85254525,0.3663
2025-01-21T12:00:35-0500,ezmsg.sigproc.bandpower.BandPower,PREPROC/BP_HGA,-2208959999.6638007,1314993.854100625,1.5228
2025-01-21T12:00:35-0500,ezmsg.sigproc.scaler.AdaptiveStandardScaler,PREPROC/SCALER_LFS,-2208959999.150654,1314993.85419375,0.0588
2025-01-21T12:00:35-0500,ezmsg.sigproc.scaler.AdaptiveStandardScaler,PREPROC/SCALER_HGA,-2208959999.8112564,1314993.854261208,0.0333
2025-01-21T12:00:35-0500,ezmsg.sigproc.downsample.Downsample,PREPROC/DEC_HGA/DOWNSAMPLE,-2208959999.0503836,1314993.854547375,0.0218
2025-01-21T12:00:35-0500,ezmsg.sigproc.downsample.Downsample,PREPROC/DEC_LFS/DOWNSAMPLE,-2208959999.0523496,1314993.854594333,0.0136
2025-01-21T12:00:35-0500,ezmsg.sigproc.affinetransform.CommonRereference,PREPROC/CAR,-2208959998.8003635,1314993.855023375,0.0308
2025-01-21T12:00:35-0500,ezmsg.sigproc.decimate.ChebyForDecimate,PREPROC/DEC_HGA/FILTER,-2208959998.950441,1314993.855412666,0.3539
2025-01-21T12:00:35-0500,ezmsg.sigproc.decimate.ChebyForDecimate,PREPROC/DEC_LFS/FILTER,-2208959998.950441,1314993.855816375,0.3725
2025-01-21T12:00:35-0500,ezmsg.sigproc.bandpower.BandPower,PREPROC/BP_HGA,-2208959999.6146483,1314993.857219583,1.3752
